Diagnose,New_Representation,MajorCategory,Category_representation,Disease_group
ZAIGU,40000,MMP,4000,0
0,0,0,0,0
A00,1,A00,1,1
A000,2,A00,1,1
A001,3,A00,1,1
A009,4,A00,1,1
A01,5,A01,2,1
A010,6,A01,2,1
A011,7,A01,2,1
A012,8,A01,2,1
A013,9,A01,2,1
A014,10,A01,2,1
A02,11,A02,3,1
A020,12,A02,3,1
A021,13,A02,3,1
A022,14,A02,3,1
A028,15,A02,3,1
A029,16,A02,3,1
A03,17,A03,4,1
A030,18,A03,4,1
A031,19,A03,4,1
A032,20,A03,4,1
A033,21,A03,4,1
A038,22,A03,4,1
A039,23,A03,4,1
A04,24,A04,5,1
A040,25,A04,5,1
A041,26,A04,5,1
A042,27,A04,5,1
A043,28,A04,5,1
A044,29,A04,5,1
A045,30,A04,5,1
A046,31,A04,5,1
A047,32,A04,5,1
A048,33,A04,5,1
A049,34,A04,5,1
A05,35,A05,6,1
A050,36,A05,6,1
A051,37,A05,6,1
A052,38,A05,6,1
A053,39,A05,6,1
A054,40,A05,6,1
A058,41,A05,6,1
A059,42,A05,6,1
A06,43,A06,7,1
A060,44,A06,7,1
A061,45,A06,7,1
A062,46,A06,7,1
A063,47,A06,7,1
A064,48,A06,7,1
A065,49,A06,7,1
A066,50,A06,7,1
A067,51,A06,7,1
A068,52,A06,7,1
A069,53,A06,7,1
A07,54,A07,8,1
A070,55,A07,8,1
A071,56,A07,8,1
A072,57,A07,8,1
A073,58,A07,8,1
A078,59,A07,8,1
A079,60,A07,8,1
A08,61,A08,9,1
A080,62,A08,9,1
A081,63,A08,9,1
A082,64,A08,9,1
A083,65,A08,9,1
A084,66,A08,9,1
A085,67,A08,9,1
A09,68,A09,10,1
A090,69,A09,10,1
A099,70,A09,10,1
A15,71,A15,11,1
A150,72,A15,11,1
A151,73,A15,11,1
A152,74,A15,11,1
A153,75,A15,11,1
A154,76,A15,11,1
A155,77,A15,11,1
A156,78,A15,11,1
A157,79,A15,11,1
A158,80,A15,11,1
A159,81,A15,11,1
A16,82,A16,12,1
A160,83,A16,12,1
A161,84,A16,12,1
A162,85,A16,12,1
A163,86,A16,12,1
A164,87,A16,12,1
A165,88,A16,12,1
A167,89,A16,12,1
A168,90,A16,12,1
A169,91,A16,12,1
A17,92,A17,13,1
A170,93,A17,13,1
A171,94,A17,13,1
A178,95,A17,13,1
A179,96,A17,13,1
A18,97,A18,14,1
A180,98,A18,14,1
A181,99,A18,14,1
A182,100,A18,14,1
A183,101,A18,14,1
A184,102,A18,14,1
A185,103,A18,14,1
A186,104,A18,14,1
A187,105,A18,14,1
A188,106,A18,14,1
A19,107,A19,15,1
A190,108,A19,15,1
A191,109,A19,15,1
A192,110,A19,15,1
A198,111,A19,15,1
A199,112,A19,15,1
A20,113,A20,16,1
A200,114,A20,16,1
A201,115,A20,16,1
A202,116,A20,16,1
A203,117,A20,16,1
A207,118,A20,16,1
A208,119,A20,16,1
A209,120,A20,16,1
A21,121,A21,17,1
A210,122,A21,17,1
A211,123,A21,17,1
A212,124,A21,17,1
A213,125,A21,17,1
A217,126,A21,17,1
A218,127,A21,17,1
A219,128,A21,17,1
A22,129,A22,18,1
A220,130,A22,18,1
A221,131,A22,18,1
A222,132,A22,18,1
A227,133,A22,18,1
A228,134,A22,18,1
A229,135,A22,18,1
A23,136,A23,19,1
A230,137,A23,19,1
A231,138,A23,19,1
A232,139,A23,19,1
A233,140,A23,19,1
A238,141,A23,19,1
A239,142,A23,19,1
A24,143,A24,20,1
A240,144,A24,20,1
A241,145,A24,20,1
A242,146,A24,20,1
A243,147,A24,20,1
A244,148,A24,20,1
A25,149,A25,21,1
A250,150,A25,21,1
A251,151,A25,21,1
A259,152,A25,21,1
A26,153,A26,22,1
A260,154,A26,22,1
A267,155,A26,22,1
A268,156,A26,22,1
A269,157,A26,22,1
A27,158,A27,23,1
A270,159,A27,23,1
A278,160,A27,23,1
A279,161,A27,23,1
A28,162,A28,24,1
A280,163,A28,24,1
A281,164,A28,24,1
A282,165,A28,24,1
A288,166,A28,24,1
A289,167,A28,24,1
A30,168,A30,25,1
A300,169,A30,25,1
A301,170,A30,25,1
A302,171,A30,25,1
A303,172,A30,25,1
A304,173,A30,25,1
A305,174,A30,25,1
A308,175,A30,25,1
A309,176,A30,25,1
A31,177,A31,26,1
A310,178,A31,26,1
A311,179,A31,26,1
A318,180,A31,26,1
A319,181,A31,26,1
A32,182,A32,27,1
A320,183,A32,27,1
A321,184,A32,27,1
A327,185,A32,27,1
A328,186,A32,27,1
A329,187,A32,27,1
A33,188,A33,28,1
A34,189,A34,29,1
A35,190,A35,30,1
A36,191,A36,31,1
A360,192,A36,31,1
A361,193,A36,31,1
A362,194,A36,31,1
A363,195,A36,31,1
A368,196,A36,31,1
A369,197,A36,31,1
A37,198,A37,32,1
A370,199,A37,32,1
A371,200,A37,32,1
A378,201,A37,32,1
A379,202,A37,32,1
A38,203,A38,33,1
A39,204,A39,34,1
A390,205,A39,34,1
A391,206,A39,34,1
A392,207,A39,34,1
A393,208,A39,34,1
A394,209,A39,34,1
A395,210,A39,34,1
A398,211,A39,34,1
A399,212,A39,34,1
A40,213,A40,35,1
A400,214,A40,35,1
A401,215,A40,35,1
A402,216,A40,35,1
A403,217,A40,35,1
A408,218,A40,35,1
A409,219,A40,35,1
A41,220,A41,36,1
A410,221,A41,36,1
A411,222,A41,36,1
A412,223,A41,36,1
A413,224,A41,36,1
A414,225,A41,36,1
A415,226,A41,36,1
A418,227,A41,36,1
A419,228,A41,36,1
A42,229,A42,37,1
A420,230,A42,37,1
A421,231,A42,37,1
A422,232,A42,37,1
A427,233,A42,37,1
A428,234,A42,37,1
A429,235,A42,37,1
A43,236,A43,38,1
A430,237,A43,38,1
A431,238,A43,38,1
A438,239,A43,38,1
A439,240,A43,38,1
A44,241,A44,39,1
A440,242,A44,39,1
A441,243,A44,39,1
A448,244,A44,39,1
A449,245,A44,39,1
A46,246,A46,40,1
A48,247,A48,41,1
A480,248,A48,41,1
A481,249,A48,41,1
A482,250,A48,41,1
A483,251,A48,41,1
A484,252,A48,41,1
A488,253,A48,41,1
A49,254,A49,42,1
A490,255,A49,42,1
A491,256,A49,42,1
A492,257,A49,42,1
A493,258,A49,42,1
A498,259,A49,42,1
A499,260,A49,42,1
A50,261,A50,43,1
A500,262,A50,43,1
A501,263,A50,43,1
A502,264,A50,43,1
A503,265,A50,43,1
A504,266,A50,43,1
A505,267,A50,43,1
A506,268,A50,43,1
A507,269,A50,43,1
A509,270,A50,43,1
A51,271,A51,44,1
A510,272,A51,44,1
A511,273,A51,44,1
A512,274,A51,44,1
A513,275,A51,44,1
A514,276,A51,44,1
A515,277,A51,44,1
A519,278,A51,44,1
A52,279,A52,45,1
A520,280,A52,45,1
A521,281,A52,45,1
A522,282,A52,45,1
A523,283,A52,45,1
A527,284,A52,45,1
A528,285,A52,45,1
A529,286,A52,45,1
A53,287,A53,46,1
A530,288,A53,46,1
A539,289,A53,46,1
A54,290,A54,47,1
A540,291,A54,47,1
A541,292,A54,47,1
A542,293,A54,47,1
A543,294,A54,47,1
A544,295,A54,47,1
A545,296,A54,47,1
A546,297,A54,47,1
A548,298,A54,47,1
A549,299,A54,47,1
A55,300,A55,48,1
A56,301,A56,49,1
A560,302,A56,49,1
A561,303,A56,49,1
A562,304,A56,49,1
A563,305,A56,49,1
A564,306,A56,49,1
A568,307,A56,49,1
A57,308,A57,50,1
A58,309,A58,51,1
A59,310,A59,52,1
A590,311,A59,52,1
A598,312,A59,52,1
A599,313,A59,52,1
A60,314,A60,53,1
A600,315,A60,53,1
A601,316,A60,53,1
A609,317,A60,53,1
A63,318,A63,54,1
A630,319,A63,54,1
A6300,320,A63,54,1
A6308,321,A63,54,1
A638,322,A63,54,1
A64,323,A64,55,1
A65,324,A65,56,1
A66,325,A66,57,1
A660,326,A66,57,1
A661,327,A66,57,1
A662,328,A66,57,1
A663,329,A66,57,1
A664,330,A66,57,1
A665,331,A66,57,1
A666,332,A66,57,1
A667,333,A66,57,1
A668,334,A66,57,1
A669,335,A66,57,1
A67,336,A67,58,1
A670,337,A67,58,1
A671,338,A67,58,1
A672,339,A67,58,1
A673,340,A67,58,1
A679,341,A67,58,1
A68,342,A68,59,1
A680,343,A68,59,1
A681,344,A68,59,1
A689,345,A68,59,1
A69,346,A69,60,1
A690,347,A69,60,1
A691,348,A69,60,1
A692,349,A69,60,1
A698,350,A69,60,1
A699,351,A69,60,1
A70,352,A70,61,1
A71,353,A71,62,1
A710,354,A71,62,1
A711,355,A71,62,1
A719,356,A71,62,1
A74,357,A74,63,1
A740,358,A74,63,1
A748,359,A74,63,1
A749,360,A74,63,1
A75,361,A75,64,1
A750,362,A75,64,1
A751,363,A75,64,1
A752,364,A75,64,1
A753,365,A75,64,1
A759,366,A75,64,1
A77,367,A77,65,1
A770,368,A77,65,1
A771,369,A77,65,1
A772,370,A77,65,1
A773,371,A77,65,1
A778,372,A77,65,1
A779,373,A77,65,1
A78,374,A78,66,1
A79,375,A79,67,1
A790,376,A79,67,1
A791,377,A79,67,1
A798,378,A79,67,1
A799,379,A79,67,1
A80,380,A80,68,1
A800,381,A80,68,1
A801,382,A80,68,1
A802,383,A80,68,1
A803,384,A80,68,1
A804,385,A80,68,1
A809,386,A80,68,1
A81,387,A81,69,1
A810,388,A81,69,1
A811,389,A81,69,1
A812,390,A81,69,1
A818,391,A81,69,1
A819,392,A81,69,1
A82,393,A82,70,1
A820,394,A82,70,1
A821,395,A82,70,1
A829,396,A82,70,1
A83,397,A83,71,1
A830,398,A83,71,1
A831,399,A83,71,1
A832,400,A83,71,1
A833,401,A83,71,1
A834,402,A83,71,1
A835,403,A83,71,1
A836,404,A83,71,1
A838,405,A83,71,1
A839,406,A83,71,1
A84,407,A84,72,1
A840,408,A84,72,1
A841,409,A84,72,1
A848,410,A84,72,1
A849,411,A84,72,1
A85,412,A85,73,1
A850,413,A85,73,1
A851,414,A85,73,1
A852,415,A85,73,1
A858,416,A85,73,1
A86,417,A86,74,1
A87,418,A87,75,1
A870,419,A87,75,1
A871,420,A87,75,1
A872,421,A87,75,1
A878,422,A87,75,1
A879,423,A87,75,1
A88,424,A88,76,1
A880,425,A88,76,1
A881,426,A88,76,1
A888,427,A88,76,1
A89,428,A89,77,1
A90,429,A90,78,1
A91,430,A91,79,1
A92,431,A92,80,1
A920,432,A92,80,1
A921,433,A92,80,1
A922,434,A92,80,1
A923,435,A92,80,1
A924,436,A92,80,1
A928,437,A92,80,1
A929,438,A92,80,1
A93,439,A93,81,1
A930,440,A93,81,1
A931,441,A93,81,1
A932,442,A93,81,1
A938,443,A93,81,1
A94,444,A94,82,1
A95,445,A95,83,1
A950,446,A95,83,1
A951,447,A95,83,1
A959,448,A95,83,1
A96,449,A96,84,1
A960,450,A96,84,1
A961,451,A96,84,1
A962,452,A96,84,1
A968,453,A96,84,1
A969,454,A96,84,1
A98,455,A98,85,1
A980,456,A98,85,1
A981,457,A98,85,1
A982,458,A98,85,1
A983,459,A98,85,1
A984,460,A98,85,1
A985,461,A98,85,1
A988,462,A98,85,1
A99,463,A99,86,1
B00,464,B00,87,1
B000,465,B00,87,1
B001,466,B00,87,1
B002,467,B00,87,1
B003,468,B00,87,1
B004,469,B00,87,1
B005,470,B00,87,1
B007,471,B00,87,1
B008,472,B00,87,1
B009,473,B00,87,1
B01,474,B01,88,1
B010,475,B01,88,1
B011,476,B01,88,1
B012,477,B01,88,1
B018,478,B01,88,1
B019,479,B01,88,1
B02,480,B02,89,1
B020,481,B02,89,1
B021,482,B02,89,1
B022,483,B02,89,1
B023,484,B02,89,1
B027,485,B02,89,1
B028,486,B02,89,1
B029,487,B02,89,1
B03,488,B03,90,1
B04,489,B04,91,1
B05,490,B05,92,1
B050,491,B05,92,1
B051,492,B05,92,1
B052,493,B05,92,1
B053,494,B05,92,1
B054,495,B05,92,1
B058,496,B05,92,1
B059,497,B05,92,1
B06,498,B06,93,1
B060,499,B06,93,1
B068,500,B06,93,1
B069,501,B06,93,1
B07,502,B07,94,1
B08,503,B08,95,1
B080,504,B08,95,1
B081,505,B08,95,1
B082,506,B08,95,1
B083,507,B08,95,1
B084,508,B08,95,1
B085,509,B08,95,1
B088,510,B08,95,1
B09,511,B09,96,1
B15,512,B15,97,1
B150,513,B15,97,1
B159,514,B15,97,1
B16,515,B16,98,1
B160,516,B16,98,1
B161,517,B16,98,1
B162,518,B16,98,1
B169,519,B16,98,1
B17,520,B17,99,1
B170,521,B17,99,1
B171,522,B17,99,1
B172,523,B17,99,1
B178,524,B17,99,1
B179,525,B17,99,1
B18,526,B18,100,1
B180,527,B18,100,1
B181,528,B18,100,1
B182,529,B18,100,1
B188,530,B18,100,1
B189,531,B18,100,1
B19,532,B19,101,1
B190,533,B19,101,1
B199,534,B19,101,1
B20,535,B20,102,1
B200,536,B20,102,1
B201,537,B20,102,1
B202,538,B20,102,1
B203,539,B20,102,1
B204,540,B20,102,1
B205,541,B20,102,1
B206,542,B20,102,1
B207,543,B20,102,1
B208,544,B20,102,1
B209,545,B20,102,1
B21,546,B21,103,1
B210,547,B21,103,1
B211,548,B21,103,1
B212,549,B21,103,1
B213,550,B21,103,1
B217,551,B21,103,1
B218,552,B21,103,1
B219,553,B21,103,1
B22,554,B22,104,1
B220,555,B22,104,1
B221,556,B22,104,1
B222,557,B22,104,1
B227,558,B22,104,1
B23,559,B23,105,1
B230,560,B23,105,1
B231,561,B23,105,1
B232,562,B23,105,1
B238,563,B23,105,1
B24,564,B24,106,1
