age,sexe,age_group,activity,postal_code
0,1,+74,0,999
1,2,0-6,1,1000
10,,13-17,2,1090
100,,18-29,4,1100
101,,30-59,5,1110
102,,60-74,6,1120
103,,7-12,7,1150
104,,,8,1160
105,,,,1170
106,,,,1200
11,,,,1220
12,,,,1230
13,,,,1250
14,,,,1270
15,,,,1290
16,,,,1300
17,,,,1310
18,,,,1320
19,,,,1330
2,,,,1340
20,,,,1350
21,,,,1360
22,,,,1370
23,,,,1380
24,,,,1390
25,,,,1400
26,,,,1430
27,,,,1440
28,,,,1480
29,,,,1500
3,,,,1510
30,,,,1540
31,,,,1560
32,,,,1590
33,,,,1600
34,,,,1640
35,,,,1660
36,,,,1700
37,,,,1750
38,,,,1800
39,,,,1960
4,,,,1990
40,,,,1999
41,,,,2100
42,,,,2110
43,,,,2190
44,,,,2200
45,,,,2220
46,,,,2240
47,,,,2260
48,,,,2300
49,,,,2330
5,,,,2390
50,,,,2500
51,,,,2580
52,,,,2600
53,,,,2700
54,,,,2820
55,,,,2840
56,,,,2850
57,,,,3000
58,,,,3100
59,,,,3120
6,,,,3130
60,,,,3190
61,,,,3200
62,,,,3220
63,,,,3230
64,,,,3300
65,,,,3360
66,,,,3390
67,,,,3400
68,,,,3410
69,,,,3470
7,,,,4000
70,,,,4100
71,,,,4120
72,,,,4130
73,,,,4140
74,,,,4150
75,,,,4160
76,,,,4170
77,,,,4180
78,,,,4190
79,,,,4200
8,,,,4210
80,,,,4220
81,,,,4230
82,,,,4240
83,,,,4250
84,,,,4270
85,,,,4290
86,,,,4300
87,,,,4320
88,,,,4330
89,,,,4350
9,,,,4420
90,,,,4500
91,,,,4510
92,,,,4700
93,,,,4800
94,,,,4860
95,,,,4999
96,,,,04C01
97,,,,04C02
98,,,,04C03
99,,,,04C04
,,,,04100
,,,,04120
,,,,04150
,,,,04200
,,,,04220
,,,,04230
,,,,04300
,,,,04860
,,,,06810
,,,,05130
,,,,06000
,,,,06130
,,,,05000
,,,,06600
,,,,06210
,,,,05100
,,,,06250
,,,,06530
,,,,06400
,,,,04C05
,,,,04C06
,,,,04C07
,,,,05C05
,,,,5000
,,,,5100
,,,,5110
,,,,5120
,,,,5130
,,,,5140
,,,,5150
,,,,5160
,,,,5190
,,,,5230
,,,,5300
,,,,5310
,,,,5330
,,,,5400
,,,,5700
,,,,5800
,,,,5999
,,,,05C01
,,,,05C02
,,,,05C03
,,,,05C04
,,,,05C05
,,,,05C06
,,,,05C07
,,,,6000
,,,,6110
,,,,6130
,,,,6140
,,,,6190
,,,,6210
,,,,6220
,,,,6230
,,,,6240
,,,,6250
,,,,6260
,,,,6270
,,,,6310
,,,,6320
,,,,6330
,,,,6340
,,,,6360
,,,,6370
,,,,6380
,,,,6390
,,,,6400
,,,,6410
,,,,6420
,,,,6430
,,,,6440
,,,,6450
,,,,6460
,,,,6470
,,,,6480
,,,,6500
,,,,6510
,,,,6530
,,,,6540
,,,,6550
,,,,6560
,,,,6570
,,,,6580
,,,,6590
,,,,6600
,,,,6610
,,,,6620
,,,,6640
,,,,6650
,,,,6660
,,,,6670
,,,,6690
,,,,6700
,,,,6710
,,,,6730
,,,,6740
,,,,6790
,,,,6800
,,,,6810
,,,,6830
,,,,6910
,,,,6950
,,,,6999
,,,,06C01
,,,,7000
,,,,7100
,,,,7110
,,,,7120
,,,,7130
,,,,7140
,,,,7150
,,,,7160
,,,,7190
,,,,7200
,,,,7210
,,,,7220
,,,,7240
,,,,7250
,,,,7260
,,,,7270
,,,,7300
,,,,7310
,,,,7330
,,,,7340
,,,,7350
,,,,7360
,,,,7370
,,,,7380
,,,,7400
,,,,7410
,,,,7440
,,,,7460
,,,,7500
,,,,7530
,,,,7600
,,,,7690
,,,,7700
,,,,7800
,,,,7999
,,,,07C01
,,,,07C02
,,,,07C04
,,,,07C05
,,,,8000
,,,,8090
,,,,8120
,,,,8150
,,,,8200
,,,,8230
,,,,8240
,,,,8270
,,,,8300
,,,,8400
,,,,8450
,,,,8460
,,,,8500
,,,,8600
,,,,8700
,,,,9000
,,,,9100
,,,,9120
,,,,9190
,,,,9200
,,,,9240
,,,,9400
,,,,9500
,,,,10000
,,,,10100
,,,,10120
,,,,10130
,,,,10140
,,,,10150
,,,,10160
,,,,10210
,,,,10300
,,,,10400
,,,,10440
,,,,10600
,,,,10700
,,,,10800
,,,,10999
,,,,11000
,,,,11100
,,,,11110
,,,,11150
,,,,11200
,,,,11260
,,,,11310
,,,,11360
,,,,11420
,,,,11500
,,,,11560
,,,,11590
,,,,11800
,,,,11999
,,,,11C04
,,,,12100
,,,,12200
,,,,12220
,,,,12310
,,,,12400
,,,,12490
,,,,12500
,,,,12550
,,,,12850
,,,,13001
,,,,13002
,,,,13003
,,,,13004
,,,,13005
,,,,13006
,,,,13007
,,,,13008
,,,,13009
,,,,13010
,,,,13011
,,,,13012
,,,,13013
,,,,13014
,,,,13015
,,,,13016
,,,,13100
,,,,13103
,,,,13105
,,,,13109
,,,,13110
,,,,13111
,,,,13112
,,,,13113
,,,,13114
,,,,13119
,,,,13120
,,,,13122
,,,,13124
,,,,13127
,,,,13130
,,,,13140
,,,,13150
,,,,13160
,,,,13170
,,,,13180
,,,,13190
,,,,13200
,,,,13210
,,,,13220
,,,,13230
,,,,13240
,,,,13250
,,,,13260
,,,,13270
,,,,13300
,,,,13310
,,,,13320
,,,,13330
,,,,13340
,,,,13350
,,,,13360
,,,,13370
,,,,13380
,,,,13390
,,,,13400
,,,,13410
,,,,13420
,,,,13430
,,,,13440
,,,,13450
,,,,13460
,,,,13470
,,,,13480
,,,,13500
,,,,13510
,,,,13520
,,,,13530
,,,,13550
,,,,13560
,,,,13570
,,,,13580
,,,,13590
,,,,13600
,,,,13610
,,,,13620
,,,,13630
,,,,13640
,,,,13650
,,,,13660
,,,,13670
,,,,13680
,,,,13690
,,,,13700
,,,,13710
,,,,13720
,,,,13730
,,,,13740
,,,,13750
,,,,13760
,,,,13770
,,,,13780
,,,,13790
,,,,13800
,,,,13810
,,,,13820
,,,,13821
,,,,13830
,,,,13840
,,,,13850
,,,,13870
,,,,13880
,,,,13890
,,,,13910
,,,,13920
,,,,13930
,,,,13940
,,,,13950
,,,,13960
,,,,13980
,,,,13990
,,,,13999
,,,,13C01
,,,,13C02
,,,,13C03
,,,,14100
,,,,14120
,,,,14123
,,,,14140
,,,,14210
,,,,14320
,,,,14370
,,,,14390
,,,,14460
,,,,14500
,,,,14540
,,,,14640
,,,,14800
,,,,14999
,,,,15000
,,,,15100
,,,,15160
,,,,15200
,,,,15240
,,,,15270
,,,,15400
,,,,15600
,,,,16000
,,,,16150
,,,,16160
,,,,16250
,,,,16300
,,,,16390
,,,,16410
,,,,16440
,,,,16460
,,,,16560
,,,,16600
,,,,16800
,,,,16999
,,,,16C01
,,,,17000
,,,,17100
,,,,17120
,,,,17130
,,,,17132
,,,,17140
,,,,17160
,,,,17200
,,,,17300
,,,,17400
,,,,17440
,,,,17480
,,,,17600
,,,,17780
,,,,18000
,,,,18120
,,,,18130
,,,,18140
,,,,18200
,,,,18220
,,,,18290
,,,,18310
,,,,18350
,,,,18500
,,,,18520
,,,,18570
,,,,18600
,,,,18800
,,,,18999
,,,,19140
,,,,19150
,,,,19240
,,,,19400
,,,,19500
,,,,20999
,,,,21000
,,,,21110
,,,,21120
,,,,21121
,,,,21130
,,,,21140
,,,,21150
,,,,21160
,,,,21170
,,,,21200
,,,,21220
,,,,21240
,,,,21270
,,,,21300
,,,,21310
,,,,21360
,,,,21420
,,,,21430
,,,,21490
,,,,21500
,,,,21520
,,,,21590
,,,,21600
,,,,21700
,,,,21800
,,,,21850
,,,,21910
,,,,21C01
,,,,21C02
,,,,22000
,,,,22100
,,,,22190
,,,,22230
,,,,22270
,,,,22300
,,,,22600
,,,,22700
,,,,22830
,,,,22960
,,,,23000
,,,,23170
,,,,23300
,,,,23400
,,,,24000
,,,,24100
,,,,24120
,,,,24150
,,,,24160
,,,,24200
,,,,24260
,,,,24290
,,,,24320
,,,,24460
,,,,24480
,,,,24540
,,,,24660
,,,,24800
,,,,25000
,,,,25150
,,,,25170
,,,,25190
,,,,25200
,,,,25220
,,,,25230
,,,,25290
,,,,25300
,,,,25310
,,,,25350
,,,,25400
,,,,25430
,,,,25460
,,,,25480
,,,,25500
,,,,25600
,,,,25620
,,,,25660
,,,,25720
,,,,25870
,,,,26000
,,,,26100
,,,,26110
,,,,26120
,,,,26130
,,,,26140
,,,,26150
,,,,26160
,,,,26170
,,,,26190
,,,,26200
,,,,26210
,,,,26220
,,,,26230
,,,,26240
,,,,26250
,,,,26260
,,,,26270
,,,,26290
,,,,26300
,,,,26320
,,,,26340
,,,,26350
,,,,26400
,,,,26420
,,,,26450
,,,,26460
,,,,26500
,,,,26510
,,,,26540
,,,,26600
,,,,26700
,,,,26730
,,,,26740
,,,,26750
,,,,26760
,,,,26770
,,,,26780
,,,,26790
,,,,26800
,,,,26C02
,,,,26C03
,,,,26C04
,,,,27000
,,,,27130
,,,,27240
,,,,27270
,,,,27340
,,,,27370
,,,,27400
,,,,27530
,,,,27620
,,,,27680
,,,,27930
,,,,27950
,,,,28000
,,,,28100
,,,,28110
,,,,28120
,,,,28200
,,,,28210
,,,,28230
,,,,28300
,,,,28310
,,,,28320
,,,,28330
,,,,28410
,,,,28500
,,,,28600
,,,,28630
,,,,28700
,,,,29000
,,,,29100
,,,,29200
,,,,29300
,,,,29410
,,,,29470
,,,,29500
,,,,29570
,,,,29590
,,,,29700
,,,,29710
,,,,29800
,,,,29850
,,,,29880
,,,,29950
,,,,29999
,,,,29C03
,,,,29C04
,,,,2AC12
,,,,2AC13
,,,,2AC14
,,,,2AC15
,,,,2AC16
,,,,2AC17
,,,,2AC18
,,,,2AC19
,,,,2BC01
,,,,2BC02
,,,,2BC03
,,,,2BC04
,,,,2BC05
,,,,2BC06
,,,,2BC07
,,,,2BC08
,,,,2BC09
,,,,2BC10
,,,,2BC11
,,,,30000
,,,,30100
,,,,30110
,,,,30126
,,,,30127
,,,,30128
,,,,30129
,,,,30130
,,,,30131
,,,,30132
,,,,30133
,,,,30140
,,,,30150
,,,,30160
,,,,30170
,,,,30190
,,,,30200
,,,,30210
,,,,30220
,,,,30230
,,,,30240
,,,,30250
,,,,30260
,,,,30270
,,,,30290
,,,,30300
,,,,30320
,,,,30330
,,,,30340
,,,,30350
,,,,30360
,,,,30380
,,,,30390
,,,,30400
,,,,30410
,,,,30430
,,,,30440
,,,,30450
,,,,30460
,,,,30480
,,,,30490
,,,,30500
,,,,30510
,,,,30540
,,,,30560
,,,,30570
,,,,30580
,,,,30600
,,,,30620
,,,,30630
,,,,30650
,,,,30670
,,,,30700
,,,,30720
,,,,30730
,,,,30760
,,,,30800
,,,,30840
,,,,30870
,,,,30960
,,,,30C01
,,,,30C02
,,,,30C03
,,,,30C04
,,,,31000
,,,,31110
