numdays_hospitalized,sequence_number,surgery_time
0,1,0
1,10,1
2,11,10
3,12,100
4,13,101
5,14,102
6,15,103
7,16,104
,17,105
,18,106
,19,107
,2,108
,20,109
,21,11
,22,110
,23,111
,24,112
,25,113
,26,114
,27,115
,28,116
,29,117
,3,118
,30,119
,31,12
,32,120
,33,121
,34,122
,35,123
,36,124
,37,125
,38,126
,39,127
,4,128
,40,129
,41,13
,42,130
,43,131
,44,132
,45,133
,46,134
,47,135
,48,136
,49,137
,5,138
,50,139
,51,14
,52,140
,53,141
,6,142
,7,143
,8,144
,9,145
,,146
,,147
,,148
,,149
,,15
,,150
,,151
,,152
,,153
,,154
,,155
,,156
,,157
,,158
,,159
,,16
,,160
,,161
,,162
,,163
,,164
,,165
,,166
,,167
,,168
,,169
,,17
,,170
,,171
,,172
,,173
,,174
,,175
,,176
,,177
,,178
,,179
,,18
,,180
,,181
,,182
,,183
,,184
,,185
,,186
,,187
,,188
,,189
,,19
,,190
,,191
,,192
,,193
,,194
,,195
,,196
,,197
,,198
,,199
,,2
,,20
,,200
,,201
,,202
,,203
,,204
,,205
,,206
,,207
,,208
,,209
,,21
,,210
,,211
,,212
,,213
,,214
,,215
,,216
,,217
,,218
,,219
,,22
,,220
,,221
,,222
,,223
,,224
,,225
,,226
,,227
,,228
,,229
,,23
,,230
,,231
,,232
,,233
,,234
,,235
,,236
,,237
,,238
,,239
,,24
,,240
,,241
,,242
,,243
,,244
,,245
,,246
,,247
,,248
,,249
,,25
,,250
,,251
,,252
,,253
,,254
,,255
,,256
,,257
,,258
,,259
,,26
,,260
,,261
,,262
,,263
,,264
,,265
,,266
,,267
,,268
,,269
,,27
,,270
,,271
,,272
,,273
,,274
,,275
,,276
,,277
,,278
,,279
,,28
,,280
,,281
,,282
,,283
,,284
,,285
,,286
,,287
,,288
,,289
,,29
,,290
,,291
,,292
,,293
,,294
,,295
,,296
,,297
,,298
,,299
,,3
,,30
,,300
,,301
,,302
,,303
,,304
,,305
,,306
,,307
,,308
,,309
,,31
,,310
,,311
,,312
,,313
,,314
,,315
,,316
,,317
,,318
,,319
,,32
,,320
,,321
,,322
,,323
,,324
,,325
,,326
,,327
,,328
,,329
,,33
,,330
,,331
,,332
,,333
,,334
,,335
,,336
,,337
,,338
,,339
,,34
,,340
,,341
,,342
,,343
,,344
,,345
,,346
,,347
,,348
,,349
,,35
,,350
,,351
,,352
,,353
,,354
,,355
,,356
,,357
,,358
,,359
,,36
,,360
,,361
,,362
,,363
,,364
,,365
,,366
,,367
,,368
,,369
,,37
,,370
,,371
,,372
,,373
,,374
,,375
,,376
,,377
,,378
,,379
,,38
,,380
,,381
,,382
,,383
,,384
,,385
,,386
,,387
,,388
,,389
,,39
,,390
,,391
,,392
,,393
,,394
,,395
,,396
,,397
,,398
,,399
,,4
,,40
,,400
,,401
,,402
,,403
,,404
,,405
,,406
,,407
,,408
,,409
,,41
,,410
,,411
,,412
,,413
,,414
,,415
,,416
,,417
,,418
,,419
,,42
,,420
,,421
,,422
,,423
,,424
,,425
,,426
,,427
,,428
,,429
,,43
,,430
,,431
,,432
,,433
,,434
,,435
,,436
,,437
,,438
,,439
,,44
,,440
,,441
,,442
,,443
,,444
,,445
,,446
,,447
,,448
,,449
,,45
,,450
,,452
,,453
,,454
,,455
,,456
,,457
,,459
,,46
,,460
,,461
,,462
,,463
,,464
,,466
,,467
,,468
,,469
,,47
,,470
,,471
,,472
,,473
,,474
,,475
,,476
,,477
,,478
,,479
,,48
,,480
,,481
,,482
,,483
,,484
,,485
,,486
,,488
,,489
,,49
,,490
,,491
,,492
,,493
,,495
,,496
,,497
,,498
,,499
,,5
,,50
,,502
,,503
,,504
,,505
,,506
,,51
,,510
,,511
,,512
,,513
,,517
,,518
,,519
,,52
,,520
,,525
,,526
,,53
,,532
,,533
,,534
,,535
,,539
,,54
,,540
,,541
,,542
,,546
,,547
,,548
,,549
,,55
,,553
,,554
,,555
,,556
,,56
,,560
,,561
,,562
,,563
,,567
,,568
,,569
,,57
,,570
,,572
,,574
,,575
,,576
,,577
,,579
,,58
,,581
,,582
,,583
,,584
,,586
,,588
,,589
,,59
,,591
,,593
,,595
,,596
,,598
,,6
,,60
,,600
,,602
,,603
,,607
,,609
,,61
,,614
,,616
,,62
,,621
,,623
,,628
,,63
,,630
,,635
,,637
,,64
,,642
,,644
,,649
,,65
,,651
,,656
,,658
,,66
,,663
,,664
,,665
,,67
,,670
,,671
,,672
,,677
,,678
,,679
,,68
,,684
,,685
,,686
,,69
,,692
,,693
,,699
,,7
,,70
,,700
,,705
,,707
,,71
,,713
,,714
,,719
,,72
,,720
,,721
,,726
,,727
,,728
,,729
,,73
,,733
,,734
,,735
,,736
,,74
,,741
,,742
,,743
,,745
,,747
,,75
,,750
,,751
,,76
,,765
,,769
,,77
,,772
,,776
,,78
,,783
,,79
,,790
,,797
,,8
,,80
,,804
,,81
,,811
,,818
,,82
,,825
,,83
,,832
,,839
,,84
,,85
,,86
,,87
,,88
,,885
,,89
,,892
,,899
,,9
,,90
,,900
,,906
,,907
,,91
,,913
,,914
,,92
,,920
,,921
,,927
,,928
,,93
,,934
,,94
,,941
,,948
,,95
,,955
,,96
,,962
,,969
,,97
,,976
,,98
,,983
,,99
,,990
,,997
,,999
