care_purpose,morbidity,etiology,major_clinical_category
0,0,0,0
R262,A020,A020,0311
Z012,A029,A047,0312
Z018,A047,A049,0313
Z019,A048,A066,0314
Z020,A049,A083,0315
Z022,A060,A084,0316
Z031,A062,A085,0317
Z032,A082,A09,0318
Z033,A083,A150,0320
Z038,A084,A151,0330
Z048,A09,A153,0340
Z080,A150,A156,0350
Z081,A151,A162,0360
Z082,A152,A165,0380
Z087,A153,A167,040
Z088,A156,A169,0411
Z089,A157,A178,0412
Z090,A159,A180,0413
Z092,A162,A181,0414
Z093,A165,A183,0415
Z094,A167,A190,0416
Z097,A169,A260,0417
Z098,A180,A281,0418
Z099,A182,A319,0420
Z133,A185,A321,0430
Z134,A188,A329,0440
Z136,A199,A370,0450
Z290,A260,A390,0460
Z292,A279,A400,0480
Z298,A310,A402,0490
Z314,A318,A408,0499
Z316,A319,A409,0511
Z359,A321,A410,0512
Z420,A379,A411,0513
Z422,A390,A412,0514
Z423,A400,A415,0515
Z424,A403,A418,0516
Z428,A409,A419,0517
Z430,A410,A46,0518
Z431,A411,A480,0520
Z432,A412,A481,0540
Z433,A414,A488,0550
Z434,A415,A514,0560
Z435,A418,A521,0580
Z436,A419,A692,0615
Z438,A427,A78,3411
Z440,A429,A800,3412
Z441,A430,A803,3413
Z448,A46,A809,3414
Z450,A481,A812,3415
Z451,A483,A858,3416
Z452,A803,A86,3417
Z453,A809,B004,3418
Z458,A810,B022,3420
Z4584,A812,B023,3430
Z459,A830,B028,3440
Z462,A86,B029,3450
Z465,A878,B181,3460
Z466,A879,B182,3480
Z467,B004,B199,
Z468,B020,B200,
Z470,B022,B201,
Z478,B023,B203,
Z479,B027,B204,
Z480,B028,B206,
Z488,B029,B207,
Z489,B159,B208,
Z490,B169,B211,
Z491,B171,B218,
Z500,B172,B220,
Z501,B181,B222,
Z502,B182,B238,
Z503,B200,B24,
Z504,B204,B24+0,
Z505,B206,B24+1,
Z506,B207,B250,
Z507,B212,B258,
Z508,B220,B340,
Z509,B222,B341,
Z5101,B231,B349,
Z511,B238,B378,
Z512,B24,B379,
Z513,B24+0,B441,
Z514,B24+1,B449,
Z515,B24+9,B451,
Z516,B250,B500,
Z518,B259,B582,
Z5188,B369,B59,
Z522,B370,B672,
Z530,B378,B749,
Z531,B400,B902,
Z532,B440,B909,
Z538,B441,B91,
Z539,B449,B941,
Z540,B488,B949,
Z541,B582,B99+1,
Z542,B588,C002,
Z543,B59,C009,
Z544,B673,C01,
Z547,B678,C023,
Z548,B850,C024,
Z549,B86,C028,
Z701,B901,C029,
Z708,B909,C031,
Z712,B949,C039,
Z713,B99+0,C040,
Z714,B99+1,C041,
Z715,C000,C049,
Z716,C009,C052,
Z717,C01,C058,
Z718,C021,C059,
Z762,C024,C060,
ZAIGU,C028,C068,
,C029,C069,
,C030,C07,
,C031,C090,
,C039,C091,
,C040,C099,
,C041,C100,
,C048,C103,
,C049,C109,
,C050,C111,
,C051,C119,
,C058,C12,
,C059,C130,
,C060,C132,
,C068,C139,
,C07,C140,
,C080,C148,
,C081,C150,
,C090,C151,
,C091,C152,
,C098,C153,
,C099,C154,
,C100,C155,
,C101,C158,
,C102,C159,
,C103,C160,
,C108,C161,
,C109,C162,
,C111,C163,
,C118,C164,
,C119,C165,
,C12,C166,
,C132,C169,
,C138,C170,
,C139,C172,
,C140,C178,
,C148,C179,
,C150,C180,
,C151,C181,
,C152,C182,
,C153,C183,
,C154,C184,
,C155,C185,
,C158,C186,
,C159,C187,
,C160,C188,
,C161,C189,
,C162,C19,
,C163,C20,
,C164,C210,
,C165,C211,
,C166,C218,
,C168,C220,
,C169,C221,
,C170,C222,
,C171,C227,
,C172,C229,
,C179,C23,
,C180,C240,
,C182,C241,
,C183,C248,
,C184,C249,
,C185,C250,
,C186,C251,
,C187,C252,
,C188,C253,
,C189,C257,
,C19,C258,
